App ID,Name,Image URL,Minutes of Playtime,Main,Main + Extra,Completionist,Achievements completed, Achievements total, Percentage
588430,Fallout Shelter,http://media.steampowered.com/steamcommunity/public/images/apps/588430/bb39b682fefd9a95486911cd991d8cdc5d7b57c9.jpg,208,18.45,53.65,94.96,5,35,14.29
589870,Learn to Fly 3,http://media.steampowered.com/steamcommunity/public/images/apps/589870/900a42e164ed8744a326db1ce9d7ca7f00ec24c5.jpg,50,2.79,7.17,15.26,8,40,20.0
601360,Portal: Revolution,http://media.steampowered.com/steamcommunity/public/images/apps/601360/7afb1feec3db22a42a34ac59657a510647ff4b77.jpg,0,5.96,6.7,7.69,0,21,0.0
304930,Unturned,http://media.steampowered.com/steamcommunity/public/images/apps/304930/e18009fb628b35953826efe47dc3be556b689f4c.jpg,127,21.33,61.84,110.01,4,77,5.19
677620,Splitgate,http://media.steampowered.com/steamcommunity/public/images/apps/677620/03e452b180ff77986c3957819bde4c69448a2d0f.jpg,1,26.5,172.03,0.0,0,30,0.0
698780,Doki Doki Literature Club,http://media.steampowered.com/steamcommunity/public/images/apps/698780/2bf8ed528d8f251428435a6f6ffc8e4e8e4b294c.jpg,0,4.21,5.92,7.61,NA,NA,NA
699170,Fell Seal: Arbiter's Mark,http://media.steampowered.com/steamcommunity/public/images/apps/699170/2751691d1de9fda9c48819b2eb83c5ffb30b5da9.jpg,0,36.65,53.12,77.98,0,53,0.0
702670,Donut County,http://media.steampowered.com/steamcommunity/public/images/apps/702670/c9a5bdbeb3d74b0926e8abbecdca904ee32d6184.jpg,230,1.98,2.16,2.58,20,20,100.0
736590,Operation: Harsh Doorstop,http://media.steampowered.com/steamcommunity/public/images/apps/736590/c6bab4b59297f21d7c58195d2de0054662ec47d4.jpg,112,0.0,0.0,0.0,NA,NA,NA
738060,Freddy Fazbear's Pizzeria Simulator,http://media.steampowered.com/steamcommunity/public/images/apps/738060/533e5d3d0322ad03117c49bbddfac47c416c3cb9.jpg,0,2.78,5.14,11.95,NA,NA,NA
587860,Tales of Escape,http://media.steampowered.com/steamcommunity/public/images/apps/587860/6999ae720ae8e21a7a7d89c409b1921a33e4e92b.jpg,101,1.04,3.12,0.0,0,16,0.0
753640,Outer Wilds,http://media.steampowered.com/steamcommunity/public/images/apps/753640/8d0c2dcfc599445affcbad76a34d89478c022780.jpg,532,16.97,22.32,27.91,3,31,9.68
782330,DOOM Eternal,http://media.steampowered.com/steamcommunity/public/images/apps/782330/14235f425d27ab3b83661ba14c17d22dc90e566b.jpg,0,14.44,20.3,28.24,0,50,0.0
783770,Ironsight,http://media.steampowered.com/steamcommunity/public/images/apps/783770/0cac43a5785adef9e8ba62dff01938af1301626c.jpg,297,19.4,0.0,0.0,0,19,0.0
837470,Untitled Goose Game,http://media.steampowered.com/steamcommunity/public/images/apps/837470/6e2e1a85218053fbb1bca010bf28d73f1bec1965.jpg,41,3.02,4.06,6.14,2,25,8.0
204450,Call of Juarez Gunslinger,http://media.steampowered.com/steamcommunity/public/images/apps/204450/b9a00d132852719cd6e6c2be3f3d0fdf669ed7ce.jpg,258,5.08,7.01,14.03,9,26,34.62
868020,Aperture Hand Lab,http://media.steampowered.com/steamcommunity/public/images/apps/868020/b60ad2336c4ce3b1a70e8cf7065dc08679ea94d2.jpg,14,0.26,0.34,0.57,NA,NA,NA
868270,The Cycle: Frontier,http://media.steampowered.com/steamcommunity/public/images/apps/868270/02005fcb9c24057b02bc71bfc897a947629db7f0.jpg,0,12.0,20.0,1821.47,NA,NA,NA
871720,Ultimate Custom Night,http://media.steampowered.com/steamcommunity/public/images/apps/871720/b2fd1232960c8a481c7b857509ad20dd11c0de64.jpg,2,17.27,26.39,41.56,NA,NA,NA
872200,Rogue Company,http://media.steampowered.com/steamcommunity/public/images/apps/872200/ec36ff029402b9cf4e1f7829f293fd12a71e6ce1.jpg,0,14.62,28.4,36.21,0,20,0.0
